V1,UA_Name,UA_Country,UA_Continent,Housing,Cost of Living,Startups,Venture Capital,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors
0,Aarhus,Denmark,Europe,6.1315,4.015,2.827,2.512,3.536,6.31175,9.94,9.6165,8.70433333333333,5.3665,7.633,4.8865,5.068,8.373,3.187,9.7385,4.13
1,Adelaide,Australia,Oceania,6.3095,4.692,3.1365,2.64,1.7765,5.33625,9.39966666666667,7.926,7.93666666666667,5.142,8.33075,6.0695,4.5885,4.341,4.3285,7.822,5.531
2,Albuquerque,New Mexico,North America,7.262,6.059,3.772,1.493,1.4555,5.05575,8.671,1.3435,6.43,4.152,7.3195,6.5145,4.346,5.396,4.89,7.0285,3.5155
3,Almaty,Kazakhstan,Asia,9.282,9.333,2.4585,0,4.592,5.87125,5.568,7.309,4.54566666666667,2.283,3.85675,5.269,8.522,2.886,2.937,6.5395,5.5
4,Amsterdam,Netherlands,Europe,3.053,3.824,7.9715,6.107,8.3245,6.1185,8.83666666666667,8.5035,7.90733333333333,6.18,7.59725,5.053,4.955,4.523,8.874,8.368,5.307
5,Anchorage,United States of America,North America,5.4335,3.141,2.7945,0,1.738,4.71525,8.671,3.4705,6.06033333333333,3.6245,9.272,6.5145,4.772,4.9645,3.266,7.093,5.358
6,Andorra,Andorra,Europe,3.969,0,1,0,0.5,0,0,9.5535,0,0,7.256,0,4.475,7.186,2.132,8.7035,3.5885
7,Ankara,Turkey,Asia,9.928,9.125,3.9725,0,2.0475,5.291,5.94833333333333,7.425,6.91433333333333,2.0285,2.936,4.0935,4.3235,2.316,8.6385,4.4855,5.1465
8,Asheville,United States of America,North America,5.856,5.311,3.5405,0,1.2095,1.358,8.671,5.8525,6.72533333333333,3.6245,8.49325,6.5145,4.062,4.7875,5.063,7.7305,2.2655
9,Asuncion,Paraguay,South America,9.2265,9.295,2.207,0,0.645,4.96875,3.684,6.9345,5.48533333333333,0,3.969,4.109,8.4235,1.479,5.992,7.0515,3.4845
10,Athens,Greece,Europe,9.0525,6.5,4.404,2.325,3.707,5.21975,6.169,6.7585,7.153,3.1625,3.80225,3.32,4.1665,2.228,7.876,6.268,6.483
11,Atlanta,United States of America,North America,4.9755,5.241,8.835,7.257,5.2915,3.89775,8.671,2.6725,6.02333333333333,6.457,5.81775,6.5145,4.204,6.4805,7.7655,4.062,5.0095
12,Auckland,New Zealand,Oceania,4.72,4.47,4.588,2.79,1.3045,4.845,10,7.0215,8.16266666666667,5.0465,8.2725,5.5055,5.9315,6.85,4.396,7.402,5.862
13,Austin,United States of America,North America,4.3345,5.355,9.236,6.939,1.8515,4.3305,8.671,5.069,6.28166666666667,5.315,7.03075,6.5145,4.772,9.049,6.698,6.7895,3.909
14,Baku,Azerbaijan,Asia,9.745,9.806,2.6705,0,2.169,5.492,5.67166666666667,8.772,3.702,0,2.62125,3.8765,5.861,1.442,6.2195,6.5845,4.503
15,Bali,Indonesia,Asia,5,0,1.628,0,1.93,5.1935,3.91233333333333,8.7475,4.442,0.5275,4.13775,4.6575,6.266,3.2375,6.3335,4.559,7.5005
16,Baltimore,United States of America,North America,4.83,4.982,0,4.358,3.6665,4.93475,5.502,2.373,6.87066666666667,5.8805,5.7845,6.5145,4.062,4.988,0,5.755,3.9795
17,Bangkok,Thailand,Asia,7.3935,7.222,6.119,3.453,4.112,4.2935,5.60366666666667,7.0365,7.12666666666667,1.6915,3.37125,2.387,6.7945,4.8265,9.089,6.019,6.494
18,Barcelona,Spain,Europe,6.323,6.074,7.7585,5.655,5.806,5.69925,7.11966666666667,7.4075,8.40333333333333,5.029,3.6655,4.296,3.894,6.468,8.5915,7.4715,5.828
19,Beijing,China,Asia,6.173,8.101,4.872,9.562,7.0175,4.83675,3.81533333333333,7.066,6.42333333333333,7.971,2.0555,6.103,1.426,3.493,7.2685,2.822,4.9435
20,Beirut,Lebanon,Asia,6.6555,6.3,3.4095,0,1.3045,4.77275,4.329,6.833,6.15933333333333,1.0035,1.449,3.4345,8.2805,1.5905,3.3995,4.184,3.842
21,Belfast,United Kingdom,Europe,7.532,6.014,3.55,1.621,4.0985,5.28,8.992,7.679,8.16833333333333,4.6865,8.3775,5.438,5.9545,5.5955,4.957,5.9795,1.413
22,Belgrade,Serbia,Europe,9.2575,8.546,4.9095,2.333,2.1365,5.57825,5.384,6.6995,6.01033333333333,0.5,4.88325,1.638,4.1665,3.863,6.497,7.387,5.078
23,Belize City,United States of America,North America,4.6425,0,1.866,0,0.89,0,3.411,6.052,5.504,0,2.031,3.496,6.93,3.8075,1.0645,6.865,0.5
24,Bengaluru,India,Asia,9.811,10,10,8.973,4.064,4.00625,3.618,7.294,3.937,0.656,2.75575,5.5565,3.4145,2.841,3.2215,3.4845,2.385
25,Bergen,Norway,Europe,5.2295,1.805,2.207,1,3.2425,5.8875,9.63533333333333,7.7075,7.64666666666667,4.8395,7.53925,7.0735,4.752,6.537,4.4875,7.6145,4.3135
26,Berlin,Germany,Europe,6.395,5.524,9.085,7.82,7.025,6.196,9.07233333333333,7.2515,7.99066666666667,7.019,6.7715,5.3735,3.9035,4.678,8.881,7.1775,5.475
27,Bern,Switzerland,Europe,4.9225,1,2.6875,0,5.2635,5.19775,8.888,9.266,7.52033333333333,5.3455,9.2445,6.552,6.4285,6.1145,4.245,8.589,2.1225
28,Bilbao,Spain,Europe,6.888,5.638,2.668,0,4.1735,5.77475,7.11966666666667,8.7805,9.32066666666667,3.759,8.328,4.296,3.894,5.756,6.014,8.663,1.481
29,Birmingham,United Kingdom,Europe,5.9035,5.814,4.3575,2.541,5.845,5.4935,8.992,6.9465,8.29366666666667,5.0265,5.7385,5.438,5.9545,5.94,4.435,6.421,1.2675
30,Birmingham,United States of America,North America,6.5555,5.133,4.3575,1,1.4355,2.02075,8.671,1.776,6.541,3.6245,7.0375,6.5145,4.204,5.1605,5.3835,4.8815,1.266
31,Bogota,Colombia,South America,9.0275,9.08,5.7085,1.259,1.889,4.964,6.34866666666667,6.222,6.30166666666667,1.534,4.3475,4.5945,1.8515,2.976,6.215,8.5555,7.477
32,Boise,United States of America,North America,6.9635,6.578,4.205,2.596,1.3235,5.225,8.671,4.3605,6.79733333333333,3.6245,8.0695,6.5145,4.062,3.442,4.1995,6.9275,5.221
33,Bologna,Italy,Europe,7.472,5.189,3.1485,1.397,3.682,5.53,6.18966666666667,7.337,8.57766666666667,4.2025,5.46025,3.3625,2.4365,7.7105,5.736,7.618,1.5815
34,Bordeaux,France,Europe,7.1915,4.583,3.6915,0,4.876,5.54975,8.08833333333333,7.466,8.82333333333333,4.442,7.261,4.2045,2.648,3.875,5.3005,7.1265,2.8755
35,Boston,United States of America,North America,1,4.259,9.565,10,3.215,4.39625,8.671,7.742,6.729,8.6245,8.1705,6.5145,4.062,5.7005,8.564,8.4815,5.66
36,Boulder,United States of America,North America,3.704,4.531,5.853,6.019,4.207,6.138,8.671,7.0735,7.05033333333333,4.679,9.84375,6.5145,4.346,6.278,2.565,9.2745,6.699
37,Bozeman,United States of America,North America,2.949,0,3.407,0,1.1905,0,8.671,6.9145,6.515,4.128,9.369,6.5145,4.062,5.156,1.907,7.2935,6.134
38,Bratislava,Slovakia,Europe,7.8745,7.618,3.487,0,4.89,5.8115,6.18866666666667,8.618,6.752,3.2975,6.2,4.4705,4.937,4.5835,6.186,6.4325,4.8575
39,Brighton,United Kingdom,Europe,2.49,5.324,3.4095,0,8.322,5.5475,8.992,8.4715,7.71633333333333,4.906,8.24575,5.438,5.9545,4.7585,4.8695,8.17,4.898
40,Brisbane,Australia,Oceania,5.212,5.177,6.343,3.24,2.4345,4.61775,9.39966666666667,7.9035,8.31766666666667,5.921,8.82775,6.0695,4.5885,4.4075,4.01,7.4895,6.2565
